지 역,,,2019년,2020년,2021년
전국,,,1634013,2219128,2094019
서울,,,174222,226980,181468
,종로구,,3296,4043,4060
,중구,,4206,4270,3956
,용산구,,5036,6071,6361
,성동구,,5730,6458,4807
,광진구,,5680,5868,4926
,동대문구,,6580,7952,5432
,중랑구,,5337,7268,6497
,성북구,,8248,10889,6912
,강북구,,4483,8580,6683
,도봉구,,6121,8724,7718
,노원구,,8987,12873,7080
,은평구,,8881,14526,10855
,서대문구,,6234,7306,4934
,마포구,,7104,8833,7157
,양천구,,7838,10386,7297
,강서구,,9917,15266,14240
,구로구,,9307,11921,8991
,금천구,,5650,6450,6717
,영등포구,,8783,10226,7565
,동작구,,6101,7996,6298
,관악구,,6256,8062,6577
,서초구,,6476,8607,8364
,강남구,,8841,9705,9706
,송파구,,11194,13479,10962
,강동구,,7936,11221,7373
부산,,,75626,135370,99048
,중구,,1147,1451,2241
,서구,,2346,3137,3202
,동구,,1708,2907,2450
,영도구,,2129,3633,3745
,부산진구,,9081,16610,9300
,동래구,,5439,11477,6710
,남구,,7650,11946,7451
,북구,,4787,7744,5916
,해운대구,,9461,19463,12588
,사하구,,6466,10971,9484
,금정구,,4872,10114,5622
,강서구,,3259,6009,4758
,연제구,,4920,8246,5122
,수영구,,4960,8823,6453
,사상구,,3256,5617,4893
,기장군,,4145,7222,9113
대구,,,55703,80996,44741
,중구,,3238,3914,2673
,동구,,8627,12502,7456
,서구,,4169,4370,2948
,남구,,3361,4302,2821
,북구,,9319,13555,8931
,수성구,,8445,13389,5382
,달서구,,11735,17983,6903
,달성군,,6809,10981,7627
인천,,,91238,126866,130224
,중구,,4988,7226,8112
,동구,,1566,2589,2746
,미추홀구,,11415,17015,16381
,연수구,,8023,14152,12433
,남동구,,15101,20077,22406
,부평구,,16691,20406,17274
,계양구,,8467,10737,13346
,서구,,14186,22165,21233
,강화군,,8810,10566,13813
,옹진군,,1991,1933,2480
광주,,,37474,50419,43848
,동구,,3103,3508,2754
,서구,,7305,10064,8673
,남구,,5384,7918,6098
,북구,,10659,13862,13531
,광산구,,11023,15067,12792
대전,,,44920,49022,36464
,동구,,6697,7679,5595
,중구,,7373,7951,6243
,서구,,14032,14601,10601
,유성구,,12931,13147,9461
,대덕구,,3887,5644,4564
울산,,,26449,40341,35543
,중구,,4060,7233,5387
,남구,,6800,11910,8011
,동구,,1781,2699,3072
,북구,,4484,6711,6744
,울주군,,9324,11788,12329
세종,,,16230,28042,22572
,세종시,,16230,28042,22572
경기,,,429590,633245,569138
,수원시,,28533,41210,35905
,,장안구,6426,9066,6635
,,권선구,8274,12746,11769
,,팔달구,4848,6445,4951
,,영통구,8985,12953,12550
,성남시,,26679,31182,20140
,,수정구,10651,6316,4176
,,중원구,6340,8926,5542
,,분당구,9688,15940,10422
,의정부시,,10986,15800,11814
,안양시,,13518,19600,12329
,,만안구,5637,7383,5573
,,동안구,7881,12217,6756
,부천시,,19623,26569,21975
,광명시,,8018,11901,6022
,평택시,,23277,30123,31834
,동두천시,,3234,4469,6330
,안산시,,17349,25408,21764
,,상록구,7059,9613,8750
,,단원구,10290,15795,13014
,고양시,,21384,39357,27086
,,덕양구,9357,16610,11155
,,일산동구,5737,11047,8747
,,일산서구,6290,11700,7184
,과천시,,1265,1457,932
,구리시,,3701,5626,3867
,남양주시,,20908,34708,25555
,오산시,,5517,11230,8004
,시흥시,,14690,21280,17115
,군포시,,4986,11000,7583
,의왕시,,4371,6239,3949
,하남시,,5427,10112,8037
,용인시,,38773,55653,43208
,,처인구,20325,21797,21780
,,기흥구,9479,17608,11468
,,수지구,8969,16248,9960
,파주시,,16720,27567,27206
,이천시,,11899,14446,19759
,안성시,,9778,16042,20996
,김포시,,14665,27796,19738
,화성시,,38679,57449,60324
,광주시,,14242,21328,21047
,양주시,,9352,12090,13924
,포천시,,8901,11734,15907
,여주시,,8693,11539,15143
,연천군,,5714,4779,5515
,가평군,,6023,7392,10086
,양평군,,12685,18159,26044
강원,,,78167,95436,111878
,춘천시,,12260,14862,17983
,원주시,,11483,18007,22029
,강릉시,,8045,10863,11546
,동해시,,3303,3593,3400
,태백시,,1575,1437,1613
,속초시,,3064,4755,5405
,삼척시,,2551,2519,2761
,홍천군,,5994,7247,9009
,횡성군,,5248,6860,8426
,영월군,,3540,3097,3648
,평창군,,6182,6843,8904
,정선군,,3037,2507,2555
,철원군,,2844,2556,3121
,화천군,,1246,1508,1714
,양구군,,1249,1297,1238
,인제군,,1713,1691,1961
,고성군,,2430,2758,3025
,양양군,,2403,3036,3540
충북,,,63734,85834,99831
,청주시,,23192,36057,37410
,,상당구,5190,6750,8000
,,서원구,4591,7928,9581
,,흥덕구,7424,12400,11084
,,청원구,5987,8979,8745
,충주시,,9052,12557,14614
,제천시,,6038,7223,9398
,보은군,,2732,2729,2960
,옥천군,,3033,3984,5021
,영동군,,2847,3238,3940
,증평군,,1117,1917,2085
,진천군,,4246,4827,7342
,괴산군,,3174,3900,4662
,음성군,,6029,7184,9355
,단양군,,2274,2218,3044
충남,,,115454,145917,166937
,천안시,,24320,35925,36519
,,동남구,10291,15901,15649
,,서북구,14029,20024,20870
,공주시,,5537,8910,10195
,보령시,,5698,6444,6983
,아산시,,17055,20480,26985
,서산시,,10365,12928,15642
,논산시,,6099,7784,7765
,계룡시,,1090,1742,1749
,당진시,,14287,16426,22480
,금산군,,4142,5603,5698
,부여군,,5829,5239,4588
,서천군,,3566,3943,3980
,청양군,,1916,2286,2265
,홍성군,,4685,6120,6976
,예산군,,4633,5082,6936
,태안군,,6232,7005,8176
전북,,,84480,104818,104890
,전주시,,14524,24015,20422
,,완산구,6543,11697,10035
,,덕진구,7981,12318,10387
,군산시,,8699,11607,15015
,익산시,,11855,14291,14287
,정읍시,,7721,8525,8686
,남원시,,5520,6396,6077
,김제시,,8448,8022,7674
,완주군,,6546,7604,7806
,진안군,,2343,2696,3276
,무주군,,1861,2174,2225
,장수군,,2005,2711,2380
,임실군,,2986,3204,3498
,순창군,,2303,2417,2300
,고창군,,4589,5420,5957
,부안군,,5080,5736,5287
전남,,,110871,127717,124056
,목포시,,5062,5849,6822
,여수시,,10927,13250,10240
,순천시,,10775,16357,11957
,나주시,,8035,8021,9903
,광양시,,7466,9253,8550
,담양군,,3872,4541,4312
,곡성군,,2628,2912,2905
,구례군,,2124,1965,2093
,고흥군,,6686,6106,6781
,보성군,,3549,4120,4289
,화순군,,4792,5871,5362
,장흥군,,3231,3391,3555
,강진군,,3434,3299,3085
,해남군,,6340,6579,7388
,영암군,,5476,6322,5827
,무안군,,5973,7242,7434
,함평군,,3337,3458,3476
,영광군,,3639,3936,3826
,장성군,,3560,4435,4503
,완도군,,3004,3122,3213
,진도군,,2551,2778,2707
,신안군,,4410,4910,5828
경북,,,104282,129261,142774
,포항시,,13609,20841,21677
,,남구,6039,8040,8006
,,북구,7570,12801,13671
,경주시,,9629,12543,13764
,김천시,,6156,8252,9263
,안동시,,5774,6640,8464
,구미시,,9628,15324,15742
,영주시,,3974,4367,5253
,영천시,,5261,5943,7550
,상주시,,5197,5989,5960
,문경시,,3053,3106,3534
,경산시,,7883,9603,9221
,군위군,,1917,2472,2254
,의성군,,4795,4973,4982
,청송군,,1908,2118,2563
,영양군,,1579,1419,1551
,영덕군,,2198,2545,3005
,청도군,,3726,3978,4903
,고령군,,2176,2305,2597
,성주군,,3570,3695,3959
,칠곡군,,4175,4992,6151
,예천군,,2510,3012,3703
,봉화군,,2314,2161,2660
,울진군,,2804,2571,3567
,울릉군,,446,412,451
경남,,,102328,134138,150030
,창원시,,19672,32293,29608
,,의창구,4592,7464,5424
,,성산구,5336,8521,6592
,,마산합포구,3599,5507,7274
,,마산회원구,2897,5512,4938
,,진해구,3248,5289,5380
,진주시,,8259,11869,13532
,통영시,,3416,3912,4389
,사천시,,4504,4535,5179
,김해시,,13615,18512,21107
,밀양시,,5730,6816,8247
,거제시,,6185,7578,12823
,양산시,,8856,14137,15127
,의령군,,2311,2377,2434
,함안군,,3223,3632,4431
,창녕군,,3595,3901,4409
,고성군,,3327,3756,4466
,남해군,,3134,3568,4219
,하동군,,3466,3460,4179
,산청군,,2692,3151,3380
,함양군,,2524,2573,3008
,거창군,,3842,4094,4848
,합천군,,3977,3974,4644
제주,,,23245,24726,30577
,제주시,,15191,16545,20340
,서귀포시,,8054,8181,10237
